beckett-allen,2021/01/01,note,"Company isn't"
angelo-beltran,2021/01/01,nickname,AJ
reina-ward,2021/01/01,birthday,1932/01/12
elliott-haney,2021/01/01,note,"Opened the door, prepare for a bigger meeting."
maggie-daniels,2021/01/01,note,"Definitely not the decision maker, need to do more digging. "
justice-quinn,2021/01/01,position,Consultant
skyla-caldwell,2021/01/01,home-address,"202 West Sky Rd, Phoenix, AZ"
britney-potter,2021/01/01,cell,4138671231
mallory-ballard,2021/01/01,nickname,Lori
chaim-pruitt,2021/01/01,note,"Company's shifting it's major product line. "
deegan-parks,2021/01/01,call,"Follow-up from initial cold call"
kinley-vance,2021/01/01,budget,100000
sullivan-le,2021/01/01,wants,"Something lightweight that her 3500lb cap SUV can pull, and an outdoor kitchen."
desiree-wall,2021/01/01,needs,"Bunkhouse for kids"
zion-gibbs,2021/01/01,cell,4012935050
carley-castillo,2021/01/01,note,"Co-Signer for mom who needs a camper to park seasonally. "
moses-porter,2021/01/01,address,"777 Rainbow's end"
lesly-summers,2021/01/01,birthday,1965/11/12
tiara-foley,2021/01/01,cell,9192333050
anthony-richards,2021/01/01,birthday,1991/05/07
trystan-pham,2021/01/01,alt-email,trystanp17@yahoo.com
corinne-valenzuela,2021/01/01,alt-email,corinval@aol.com
rodney-huang,2021/01/01,ssn,348782643
maryjane-phelps,2021/01/01,budget,31000
